test_index,true_label,tfidf_pred,tfidf_conf,Fine-tuned DistilBERT_pred,Fine-tuned DistilBERT_conf,tfidf_correct,Fine-tuned DistilBERT_correct,text,tfidf_product_masked_pred,tfidf_flipped_after_product_masking,Fine-tuned DistilBERT_product_masked_pred,Fine-tuned DistilBERT_flipped_after_product_masking,case_type
0,Debt collection,Debt collection,0.8456313806385547,Debt collection,0.9354811310768127,True,True,"I have a debt with an apartment community and had called the agency listed on my credit report. They told me that the account had been transferred to an alleged law firm. I attempted to contact this law firm to resolve the issue and was immediately questioning whether or not they were legitimate. I performed research on them and had found legal action taken against them, multiple complaints on the XXXX website, and many persons stating they were not legitimate. Thus, I contacted the firm about the issue and never received any real information on their practices or my debt. I asked them for a validation letter to be sent, but they never stated the address it would be sent to and did not disclose the information that would be on that letter, such as my rights under the FDCPA. Since my suspicion was risen, I contacted the apartments that I owe and they had stated that it was very strange for the account to be transferred to another agency and not be handled by National Credit Systems, since they only deal with that agency and not XXXX XXXX XXXX XXXX. A lady at the apartment had contacted National Credit Systems to confirm that the account was still under their care and had notified me that it was, so I called them back and got the same answer, that the account had been transferred to XXXX XXXX XXXX XXXX XXXX, apparently a company under the same umbrella as National Credit Systems. I attempted one last time to speak with them about the issue and not one thing was resolved and no other information was given to me.",Debt collection,False,Debt collection,False,both_right
1,Debt collection,Credit reporting,0.577560833863016,Debt collection,0.43129685521125793,False,True,I have several accounts that are listed with this company that is a result of my identity being stolen and are fraudulent I have submitted an ftc report # XXXX and a police report detailing the identity theft and some of the fraudulent accounts that are listed. acct # XXXX,Credit reporting,False,Debt collection,False,tfidf_wrong_comparison_right
2,Credit reporting,Credit reporting,0.9881802427684562,Credit reporting,0.9732816815376282,True,True,"Equifax will not correct errors that they placed on my credit report. I have XXXX Student Loans XXXX (Account XXXX). Equifax is reporting that I have XXXX loans. A few weeks ago they were reporting that I have XXXX student loans, so I disputed the XXXX loans opened in XX/XX/XXXX. Equifax did not remove them, despite the fact that I provided them my Loan Verification letter XXXX. Equifax instead, listed those XX/XX/XXXX loans again, making my credit report now show that I have XXXX student loans. This brought my score down. My credit report by Equifax, is showing that I have XXXX unsubsidized student loans opened XX/XX/XXXX with XXXX loans having a balance of $XXXX (adding $XXXX of debt to my credit report). They are also showing that I have XXXX subsidized loans opened XX/XX/XXXX, with these XXXX loans having balances of $XXXX each, (adding an additional $XXXX of debt to my report). Not only are these accounts showing up multiple times increasing my debt amount, but they all have a note saying I missed a payment. So my credit report shows derogatory remarks for all XXXX of these accounts and notes that I missed a payment when I don't even have these accounts. The XXXX loans that I actually do have XXXX are also being reported by Equifax; they are being reported correctly on my report and were opened XX/XX/XXXX and XX/XX/XXXX. When I XXXX disputed the information with Equifax, they did not send me an email confirmation of my dispute. A week later I tried to check the dispute online and was not able to. A message came up telling me to send a copy of my Driver's License to them. I did that with the dispute form as requested. I still did not receive the confirmation number for my dispute. Instead, when I went online to check my credit report, they had XXXX more loans added to my credit report, with notes saying, ""Consumer disputes items."" I was also not able to check my dispute online. I called XXXX about the issue and they told me there is no reason Equifax should have seven loan showing on my report. They told me that as long as I send them the Verification Letter which they provided to me, the error should have been corrected. It was not. I am trying to improve my credit score to get pre-qualified for a home mortgage. Lenders heavily rely on the information reported by the XXXX major credit bureaus in order to determine if a person qualifies for a loan. That is why the information should be accurate and up-to-date. Equifax is causing me extreme stress right now by reporting inaccurate information on my report, by not allowing me a way to communicate with them or check my dispute status, and by adding things to my credit report instead of fixing the problem. I would appreciate it if someone can look into this, and find out why disputed information would show up as a new account on my report increasing the amount of loans that I have. Instead of being looked into and removed. Equifax is the only credit reporting agency that has this information wrong and I don't understand it.",Credit reporting,False,Credit reporting,False,both_right
3,Bank account or service,Bank account or service,0.9407736431605321,Bank account or service,0.9728283882141113,True,True,"To whom it may concern, I have been a loyal customer at Wells Fargo since XX/XX/XXXX. On XXXX XXXX, XXXX, I deposited a personal check from my wife 's account in the amount of {$1200.00}. The receipt provided stated that {$400.00} would be released immediately and the remainder on XX/XX/XXXX. With that information in mind I proceeded to write out checks. When I checked my account on XX/XX/XXXX not only was the money not available, my account was negative which is a first for me. Instead of contacting me, the XXXX, NY branch withdrew the funds which put us in a panic. I contacted the customer service department who told me that there was a signature irregularity. Being that my wife was a XXXX for XXXX years I immediately contacted her. She in turn contacted her Credit Union which informed her that they were never contacted regarding a signature verification. With that in mind we called customer service back and asked to speak to a supervisor. The representative connected us to XXXX XXXX whom I believe works out of the Minnesota call center. She did not see any notes about a signature discrepancy and could not understand why there was a hard hold on this check. She then connected us to the corporate office and we spoke to XXXX. Unfortunately I do not recall her last name. She assured me that this issue would be taken care of immediately and that she would get back to me first thing in the morning which would have been today. I never heard back from her and when trying to reach her I was unable. 

In the meantime my wife logged into her online banking account and noticed that check # XXXX in the amount of XXXX already cleared her account. While thinking about placing a stop payment on this check she was now unable to. 

Knowing the check cleared her account we decided to go into the XXXX, NY branch which is located on XXXX XXXX ( zip XXXX ) which is where we deposited the check to begin with. We talked to the branch manager XXXX. He also could not understand why the check was n't released. We showed him a copy of the check clearing my wife 's account. He called several individuals XXXX being the deposit operations department and the other being his district manager. None of these parties were willing to assist us. We then spoke to a XXXX XXXX and XXXX XXXX who stated they were from the executive office. Both talked down to us and when I asked why my check was being held his answer was "" I 'm sorry I ca n't help you '' this was said to me several times. At one point XXXX XXXX from the executive branch said that the Branch Manager ( XXXX ) had the authority to clear this. When contacted, XXXX said that only the corporate-executive branch has that authority. 

Wells Fargo has displayed immoral and unethical practices in this matter. I regret that the matter had to go to this extreme. It is really sad when a corporation of this size and stature resorts to such illegal actions. 
Thank you!",Bank account or service,False,Bank account or service,False,both_right
4,Credit card,Credit card,0.6827913393856405,Credit card,0.9419497847557068,True,True,"On Friday, XXXX XXXX, 2015, I called the phone number on the back of the XXXX XXXX XXXX XXXX issued by Barclays Bank Delaware to determine if our family 's checked bags on a forthcoming trip to XXXX XXXX XXXX would be free based on the terms of the credit card. The Barclays customer service representative told me that up to one checked bag would be free for the card holder as well as one per each passenger traveling with the card holder. Based on this information, I packed four checked bags as we were traveling with the cardholder and three additional passengers. In addition, in response to my inquiry as to procedure for claiming the benefit, the Barclays customer service representative told me that on the day of travel, all I would need to do was show my credit card to the XXXX Airways desk agent and s/he would waive the per checked bag charge of {$25.00}. 
On Sunday, XXXX XXXX, 2015, we went to the airport for our flight. There was a long line to check in and we were told by the one and only XXXX Airways agent supervising check in that we would first need to check in at the electronic kiosks to be permitted to get on the line to check bags. We went to the kiosk and were prompted to make payment for the four bags we were checking. We made payment as, based on our conversation with the XXXX Airways agent supervising check in, we understood that we first needed to check in at the kiosk to be able to even get on the line to check bags. There was no XXXX Airways representative in the kiosk area to answer our questions. 
When we got to the front of the line to check our bags, we were told by the XXXX Airways representative that we had incorrectly paid the fee at the kiosk and that we should have entered "" 0 '' checked bags. She said that now that we had paid the fee in the amount of {$100.00} we would have to call the number on the back of the card to get the charge reimbursed. I argued with her that I had called the number on the back of the card two days earlier and was told that I needed to show the card to her. I told her that we were being sent in circles between the Barclays card representative and herself. She then asked me if I wanted to get on the flight or not but that if I did I needed to step aside. I took that as a threat and felt as if I had no option but to call the number when I returned. At no time did the XXXX Airways representative indicate that the baggage fees were not reimbursable ; rather she simply indicated that she did not have the authority to reimburse us the money. She represented to me that I could get the {$100.00} credited to the card by simply calling the number on the back of the card. With that understanding, I relinquished my bags and boarded the flight. 
I again paid the {$100.00} checked bag fee in XXXX, XXXX XXXX XXXX upon my return based on my reliance on the information provided to me by both the Barclays customer representative I had spoken with on XXXX XXXX XXXX, 2015 and the XXXX Airways representative I had spoken with on XXXX XXXX, 2015. 
I called to have the amount reimbursed on Tuesday, XXXX XXXX, 2015. I was told by each of XXXX XXXX representative XXXX XXXX XXXX XXXX as well as the Barclays credit card representative XXXX XXXX, ID # XXXX ) that while I may have been given misinformation by XXXX their entities, I was not entitled to a refund per the terms and conditions of the credit card. 
If I had been given the correct information by the credit card representative on Friday, XXXX XXXX, 2015, I would have brought four carry on bags and would not have incurred the cumulative {$200.00} charge. Each of Barclays and XXXX Airways employees fraudulently induced me into spending {$200.00} by providing me inaccurate information.",Bank account or service,True,Credit card,False,both_right
5,Mortgage,Mortgage,0.7932388305471896,Mortgage,0.9728676676750183,True,True,"XXXX XXXX with Nationstar on XXXX/XXXX/XXXX @ XXXX called to informed me AGAIN my loan modification had a problem, he noted that it was an accounting error. The papers were re signed on XXXX/XXXX/XXXX for the XXXX time. He noted they would offer {$300.00} cash gift card. I received a letter tape to my door offering {$150.00} stating my MOD loan was rejected. My loan modification has been booked several times once in XXXX and XXXX now they 're saying it has been rejected. Please see previous compliant on case # CFPBXXXXXXXX On XXXX/XXXX/XXXX Nationstar deducted out of my checking account than what is agreed according to my Modification. My agreed amount is XXXX, they deducted {$990.00}. Solution provide correct documentation my loan should also remain as per noted on Loan Modification documents, refund the amount they taken out of my account unauthorized.",Mortgage,False,Credit card,True,both_right
6,Mortgage,Mortgage,0.9384423680334426,Mortgage,0.9752774238586426,True,True,"I paid off my mortgage on XXXX XXXX, 2015 to Nationstar Mortgage. 
The lien release/Release of Mortgage/Satisfaction of Mortgage hasnot been recorded in the XXXX XXXX, Florida as ofXXXX XXXX, 2015. Florida statutes deadline to record is XXXX daysfrom the pay-off date for this matter. I have called to NationstarMortgage numerous times to resolve this issue with no success. 
The mortgage is under my wife, XXXX XXXX.",Mortgage,False,Mortgage,False,both_right
7,Credit reporting,Credit reporting,0.8100440879413311,Credit reporting,0.9717490077018738,True,True,"Hello - I ordered my credit report and score from Experian on XXXX XXXX, 2016. I paid {$8.00} with my XXXX XXXX card and the transaction 's confirmation # is XXXX ; the report number for my documents is XXXX. The website said I would receive my packet by XXXX XXXX, 2016. I did not receive it. I emailed Experian through its general "" contact us '' portal on XXXX XXXX to ask about it, and have received no reply and no packet. I emailed them again today, XXXX XXXX, and do not expect a reply to this either. I sat on hold for many minutes today hoping to speak to someone, in vain - never got to speak to anyone, so I hung up finally. Is there some way you can please facilitate their keeping up their end of the bargain? At the same time ( XXXX/XXXX/16 ), I ordered from the other XXXX credit companies, XXXX and XXXX, and had completely straightforward, aboveboard experiences with them both. I am angry with Experian! Thanks for any help you can provide. 
Regards, XXXX XXXX",Credit reporting,False,Credit card,True,both_right
8,Credit reporting,Credit reporting,0.8480872005341575,Credit reporting,0.9751392602920532,True,True,Denied credit from XXXX. Called XXXX was told MISSING credit info from XXXX. Ordered Equifax credit report and all info missing from XXXX to present BLANK nothing. Applied for XXXX card died reason missing credit information. Called Equfax could do nothing but send me the report. sent me report and ALL INFO MISSING from XXXX to present. Disputed online 2 more times. No Response from Equifax.,Credit reporting,False,Credit reporting,False,both_right
9,Bank account or service,Bank account or service,0.35531407002829885,Credit card,0.841168224811554,True,False,"It 's happened so weird, so I only ask the bank online to increase my credit line for information but not request. And then the bank send me notice and did n't ask my authorization and directly this is a hard pull. I can not believe it. How could this be? I only put info online and then, NO PHONE CALL NO TEXT NO MAIL NOTICE OR EMAIL, there 's a hard pull. And he said he need my more info, it 's funny cause when I made phone call, I said I gave up to increase my credit line. This is totally not my fault. SHAME ON BANK OF AMERICA.",Bank account or service,False,Credit card,False,tfidf_right_comparison_wrong
